Endereco_detalhado,Lat,Lng,acidentes_10m,acidentes_20m,acidentes_50m,acidentes_100m,acidentes_200m,acidentes_500m,acidentes_1000m
"Av. Antônio de Carvalho  1655 , Porto Alegre, RS, Brasil",-30.0549011,-51.1469862,0,0,1,13,20,35,104
"Av. Antônio de Carvalho 1800 , Porto Alegre, RS, Brasil",-30.053315700000002,-51.147179200000004,2,2,2,16,25,35,77
"Antônio de Carvalho  2320 , Porto Alegre, RS, Brasil",-30.0485598,-51.1442304,0,0,0,1,6,22,119
"Av. Antônio de Carvalho 2079 , Porto Alegre, RS, Brasil",-30.050919899999997,-51.14491029999999,0,0,0,3,8,36,85
"Mal. José Inácio da Silva 14 , Porto Alegre, RS, Brasil",-30.009007099999998,-51.1787372,0,0,0,2,28,88,339
"Mal. José Inácio da Silva 240 , Porto Alegre, RS, Brasil",-30.010913000000002,-51.178661,0,0,0,0,5,61,351
"Estrada Costa Gama 3501 , Porto Alegre, RS, Brasil",-30.138031899999994,-51.1688008,0,0,0,1,1,9,13
"Estrada Costa Gama  3501 , Porto Alegre, RS, Brasil",-30.138031899999994,-51.1688008,0,0,0,1,1,9,13
"Rua Dr. Otávio Santos  330 , Porto Alegre, RS, Brasil",-30.039659000000004,-51.145296,0,0,0,0,4,56,204
"Rua Dr. Otávio Santos  257 , Porto Alegre, RS, Brasil",-30.039215000000002,-51.144985999999996,0,0,0,1,2,55,205
"Av. Icaraí  1719 , Porto Alegre, RS, Brasil",-30.0943984,-51.2450005,0,0,0,0,5,55,136
"Av. Icaraí 1949 , Porto Alegre, RS, Brasil",-30.095987100000006,-51.246676799999996,0,0,0,0,12,66,130
"Rua Guadalajara  1035 , Porto Alegre, RS, Brasil",-30.0369321,-51.144144299999994,0,0,1,2,4,14,211
"Rua Guadalajara  , Porto Alegre, RS, Brasil",-30.0318846,-51.143612299999994,0,0,0,1,5,39,128
"Av. Padre Cacique  1178 , Porto Alegre, RS, Brasil",-30.068465500000002,-51.23674929999999,0,0,0,0,6,25,75
"Av. Padre Cacique  1178 , Porto Alegre, RS, Brasil",-30.068465500000002,-51.23674929999999,0,0,0,0,6,25,75
"Estrada Cristiano Kraemer  1771 , Porto Alegre, RS, Brasil",-30.130928700000002,-51.1990414,0,0,0,0,0,5,10
"Estrada Cristiano Kraemer 1621 , Porto Alegre, RS, Brasil",-30.1301,-51.200617,0,0,0,0,0,6,10
"Saturnino de Brito 1400 , Porto Alegre, RS, Brasil",-30.029775800000003,-51.1513727,0,0,0,2,5,54,187
"Saturnino de Brito  1400 , Porto Alegre, RS, Brasil",-30.029775800000003,-51.1513727,0,0,0,2,5,54,187
"Av. Oscar Pereira  4445 , Porto Alegre, RS, Brasil",-30.08505,-51.190975,0,0,0,1,10,37,70
"Av. Oscar Pereira  4464 , Porto Alegre, RS, Brasil",-30.085196000000003,-51.190378,0,0,0,4,12,34,67
"Av. Baltazar de Oliveira Garcia  1981 , Porto Alegre, RS, Brasil",-30.0126494,-51.124914600000004,0,0,0,0,9,30,177
"Av. Baltazar de Oliveira Garcia  1956 , Porto Alegre, RS, Brasil",-30.012276,-51.1246162,0,0,0,1,9,31,174
"Rua Ten. Ary Tarrago  285 , Porto Alegre, RS, Brasil",-30.039858000000002,-51.135426,0,0,1,1,7,51,145
"Rua Ten. Ary Tarragô 293 , Porto Alegre, RS, Brasil",-30.0397668,-51.1354998,0,0,1,1,4,49,146
"Av. Joao de Oliveira Remiao 6500 , Porto Alegre, RS, Brasil",-30.124694800000004,-51.10616029999999,0,0,0,2,4,11,24
"Av. Joao de Oliveira Remiao 6609 , Porto Alegre, RS, Brasil",-30.124900899999997,-51.105744,0,0,0,0,4,10,24
"Rua Paul Harris 467 , Porto Alegre, RS, Brasil",-30.020511499999998,-51.142868299999996,0,1,2,2,2,29,141
"Rua Paul Harris  415 , Porto Alegre, RS, Brasil",-30.0199946,-51.1429494,0,0,0,2,6,32,128
"Juca Batista  3156 , Porto Alegre, RS, Brasil",-30.152662300000003,-51.200885799999995,0,0,3,10,14,30,60
"Av. Juca Batista  3151 , Porto Alegre, RS, Brasil",-30.1523787,-51.2014282,0,0,0,9,15,26,59
"Voluntários da Pátria  1819 , Porto Alegre, RS, Brasil",-30.018315500000003,-51.213555,0,0,2,3,15,134,484
"Voluntários da Pátria 1981 , Porto Alegre, RS, Brasil",-30.017149,-51.213004,0,0,1,2,6,134,426
"Av. Padre Leopoldo Brentano  O/L 423 , Porto Alegre, RS, Brasil",-29.9761114,-51.1945934,0,0,0,0,4,20,42
"Padre Cacique  , Porto Alegre, RS, Brasil",-30.070509899999998,-51.2390975,0,0,0,1,5,21,67
"Av. Padre Cacique  , Porto Alegre, RS, Brasil",-30.070509899999998,-51.2390975,0,0,0,1,5,21,67
